title,original_language,vote_average,vote_count,popularity
The Shawshank Redemption,en,8.704,26083,139.969
The Godfather,en,8.695,19776,160.239
The Godfather Part II,en,8.577,11947,147.087
Schindler's List,en,8.568,15348,112.662
12 Angry Men,en,8.542,8220,84.855
Spirited Away,ja,8.537,15872,121.46
Dilwale Dulhania Le Jayenge,hi,8.536,4377,45.936
The Dark Knight,en,8.515,31871,121.229
Parasite,ko,8.51,17484,98.111
The Green Mile,en,8.506,16781,145.81
Your Name.,ja,8.496,10944,90.195
Pulp Fiction,en,8.489,27024,359.534
The Lord of the Rings: The Return of the King,en,8.48,23340,136.497
Forrest Gump,en,8.475,26557,227.96
"The Good, the Bad and the Ugly",it,8.5,8237,95.068
GoodFellas,en,8.5,12356,214.719
Grave of the Fireflies,ja,8.464,5224,0.6
Cinema Paradiso,it,8.454,4185,49.881
Seven Samurai,ja,8.453,3477,56.486
Life Is Beautiful,it,8.451,12692,67.826
